Title,Abstract,Keywords,itr,Label
strong convergence theorem tseng extragradient method solving variational inequality problems,paper introduce new algorithm solving variational inequality problems monotone lipschitz continuous mappings real hilbert spaces algorithm requires compute projection feasible set iteration prove certain mild assumptions strong convergence theorem proposed algorithm solution variational inequality problem finally numerical experiments illustrating performance proposed algorithm variational inequality problems,tseng extragradient viscosity method variational inequality problem,1654,266
cardiac remodelling identified cardiovascular magnetic resonance patients hepatitis infection liver disease,chronic cardiac dysfunction patients chronic liver disease cld absence alcohol consumption cardiac disease described whilst functional morphological features condition remain unclear diastolic dysfunction implicated echocardiography aimed evaluate myocardial structure function tissue composition cardiac magnetic resonance cmr imaging patients hepatitis histological evidence liver disease biopsy contrast enhanced cmr imaging morphological functional tissue characterization performed patients cld healthy controls cardiac structure function assessed standard cine imaging late gadolinium enhancement lge myocardial mapping pre post contrast performed evaluate regional diffuse myocardial fibrosis respectively compared controls patients cld demonstrated lower left ventricular end diastolic volume lvedv vs ml reduced stroke volume vs ml lower post contrast myocardial time higher partition coefficient consistent diffuse myocardial fibrosis vs ms vs differences cardiac parameters including left ventricular mass ejection fraction ns comparisons patients group evidence lge compared controls patients hepatitis histological evidence liver involvement lower lvedv sv increased diffuse myocardial fibrosis associated diastolic dysfunction lvef lv mass preserved explain previous functional observations echocardiography,myocardial fibrosis hepatitis liver disease time diastolic dysfunction,1943,327
hybrid visual servoing rivet hole insertion based super twisting sliding mode control,aiming solving rivet hole insertion problem complement riveting process novel hybrid visual servoing controller proposed automatic drilling riveting combination visual laser sensor feedback adopted determine relative pose errors rivet respect hole compensate uncertainties super twisting sliding mode controller stsmc designed provide continuous control inputs end effector desired pose exponentially decreasing feature errors proposed control scheme guarantees stability control provides robust quick rivet spot positioning presence manipulator errors external disturbances riveting finally rivet hole insertion experiments conducted results accurate positioning achieved finite time meets demand high efficiency flexibility riveting process achieve global convergence initial camera pose long hole field view fov laser displacement sensors working range beginning,aircraft assembly complement riveting multi sensors rivet hole insertion visual servoing,1158,196
depth resolved analysis double layered cultural heritage artifacts pulsed thermography,work experimental method based use pulsed thermography proposed depth resolved characterization double layered structures cultural heritage items quantitative evaluation inspected features achieved comparing thermographic data theoretical predictions provided specifically developed theoretical models analysis thermographic signal respect thermographic models optically opaque semi transparent materials employed analyze results obtained copper alloys paper based original artworks respectively thermographic inspections aimed establishing procedure adopted application insertions ancient bronze statues presented finally evaluation depth position graphical features buried beneath leaves historical books proposed,ancient books bronze statues infrared thermography opaque samples optically semi transparent material,368,66
study project portfolio models skewness risk staffing,comes business operation institutions choose appropriate projects numerous projects invest end consider establish project portfolio make decisions building portfolio project selection staff assignment essential parts greatly affect profit project portfolios project selection market returns tend asymmetric investors concerned skewness risk ignored traditional project portfolio staff assignment institutional investors aim achieving highest returns adopting proper assignment project managers addition exact possibility distributions uncertain parameters practical project portfolio problems unavailable adopt variable parametric credibility measure characterize uncertain model parameters view problems article proposes project portfolio model skewness risk constraints project portfolio model staffing based credibility measure theory fuzzy theory uncertain circumstances models associated risk free assets remaining funds utilized effectively finally use genetic algorithms solve proposed models present numerical examples demonstrate effectiveness proposed models,project portfolio skewness risk staffing credibility measure fuzzy theory genetic algorithm,514,95
genetic variation,gout common type arthritis characterized hyperuricemia tophi joint inflammation current evidence suggests heredity contributes progression gout previous studies shown regulation atp binding cassette subfamily member abcg pathways plays role gout occurrence investigate validate potential genetic associations risk gout conducted case control study conducted cases controls genotyped seven single nucleotide polymorphisms snps abcg gene abcg snp association analyses performed using spss statistical package plink software haploview software package shesis software platform identified susceptibility snps potentially associated occurrence gout rs rs abcg actually increase risk gout log additive model rs odds ratio confidence interval ci rs ci rsg rs abcg actually increase risk gout dominant model rs ci rs ci abcg haplotype ggctctc ci decreased gout risk results combined previous studies suggest genetic variation abcg influence gout susceptibility han population,abcg case control studies gout single nucleotide polymorphism,779,139
internal quantum efficiency improvement polysilicon solar cells porous silicon layer rear,present paper reports simulation study carried determine optimize effect porous silicon ps layer rear performance polysilicon solar cells analytically solved complete set equations necessary determine contribution material regard internal quantum efficiency iqe cell acting backside reflector contribution different regions cell increase iqe effects high porosity number ps layers derived compared conventional bsf solar cells findings revealed iqe solar cell ps layer backside higher conventional bsf particularly terms medium long wavelength range improvement significant cells large grain widths passivated grain boundaries furthermore use ps layer significant effect contribution base exerted effect contribution emitter depletion regions overall maximum level iqe improvement recorded double porosity structures ps layer reaching high porosity value,solar cell porous silicon polysilicon minority carrier depletion region,392,70
failure damage mechanical properties thoracic abdominal porcine aorta layers related constitutive modeling phenomenological microstructural approach,despite increasing experimental analytical efforts investigate irreversible effects arterial tissue failure underlying mechanisms poorly understood goal study characterize failure properties intact wall separated layer intima media adventitia descending thoracic infrarenal abdominal aorta test hypothesis failure properties layer separated tissue depend location aorta test hypothesis performed uniaxial tests study mechanical behavior intact layer separated porcine aortic tissue samples taken descending thoracic infrarenal abdominal aorta complete failure fracture stress higher infrarenal abdominal aorta equivalent descending thoracic aorta extrapolation elastic mechanical properties physiological supra physiological regime characterizing mechanical response aorta inappropriate finally report values constitutive parameters using phenomenological microstructural damage models based continuum damage mechanics theory phenomenological damage model gives excellent fit experimental data compared microstructural damage model fitting results phenomenological model better microstructural models include physically motivated aspects obtained experiments,failure properties damage mechanics thoracic abdominal aorta layer separation,1271,211
influence human demography land cover change great lakes states usa,great lakes region contains productive agricultural forest lands highly urbanized million residents living large metropolitan areas urbanization undeveloped areas adversely affect productivity agricultural forest lands provision ecosystem services combine demographic remote sensing data evaluate land cover change region using phase statistical modeling approach predicts incidence extent land cover change region county subdivisions observed patterns spatially uneven probability land cover change influenced current land use human habitation industry demographic change pseudo values varied phase logistic models predicting presence land cover change second stage beta models predicting rate change reliable pseudo ranging overall changes agriculture greenspace development predictable changes agriculture greenspace vice versa demographic variables important models predicting change development models successfully predicted general location land cover change models great recession useful predicting location change recession fine grained prediction remained challenging understanding future changes probable inform planning policy making reduce impact development resource production environmental health ecosystem services,demography development ecosystem services land cover land use change,1246,206
upper campanian maastrichtian calcareous nannoplankton biostratigraphy paleoecology wadi qena eastern desert egypt,upper campanian maastrichtian calcareous nannofossils hawashiya umm omeiyied exposed sections wadi qena examined studied interval represented sudr formation formation rests uncomfortably upper campanian rakhiyat formation uncomfortably underlain paleocene dakhla formation studied calcareous nannofossils assemblage highly diverse comprises preserved specimens assemblages include abundant watznaueria spp arkhangelskiella spp micula spp addition taxa studied sections divided seven calcareous nannofossils biozones cover upper campanian maastrichtian interval respectively biozones older younger uce cc uc cca uc ccb uc cc uc cca uca ccb ucb ccc biozones paleoecological analysis calcareous nannofossils studied interval depended set statistical indices like total number nannofossils abundance diversity fertility productivity calcareous nannofossils addition species calcareous nannofossils selected determine cycles temperature fluctuations water surface ranged cold warm paleoenvironmental analysis emphasizes significance indicator nannofossil taxa reconstruction productivity model tethyan realm upper cretaceous times,upper cretaceous calcareous nannofossils paleoecology wadi qena eastern desert,539,103
combing simulated field measured data develop robust hyperspectral indices tracing canopy transpiration drought tolerant plant,transpiration plays key role water energy fluxes various scales recent remote sensing offers fast convenient method tracing transpiration multiple scales approach indirect relies energy balance hyperspectral indices reported potentials tracing transpiration directly leaf canopy scales remain pioneer stages need extensive validations study used soil canopy observation photochemistry energy fluxes scope model calibrated arid ecosystems central asia generate simulated dataset validation furthermore new robust indices developed combining simulated situ measured datasets results suggested sr nd previously reported index dsr significant relationships simulated situ measured transpiration analyses revealed nd consistent performance different methodologies combining simulation field measured datasets statistically significant results obtained study dominant drought tolerant species arid land place typically weak vegetation reflectance strong background radiation foresee approach conducted regions vegetation reflectance dominates lead robust hyperspectral indices developed directly tracing transpiration various scales,arid ecosystem haloxylon ammodendron nd scope model,1487,239
cost effectiveness analyses demonstrate observation superior sentinel lymph node biopsy postmenopausal women hr breast cancer negative axillary ultrasound,purpose evaluate cost effectiveness axillary observation versus sentinel lymph node biopsy slnb negative axillary ultrasound aus patients clinical breast cancer negative aus slnb current standard care axillary staging slnb costly invasive decreasing importance medical decision making considered therapeutic observation currently evaluated randomized clinical trials thought non inferior slnb patients negative aus methods performed cost effectiveness analyses observation versus slnb negative aus postmenopausal women clinical hr breast cancer costs price level evaluated party commercial payer perspective using marketscan database compared cost quality adjusted life years qalys net monetary benefit nmb multiple sensitivity analyses varying baseline probabilities costs utilities willingness pay thresholds performed results observation superior slnb patients disease entire patient population nmb observation versus slnb entire patient population groups observation incurred lower cost associated greater qalys slnb superior patients positive lymph nodes representing approximately population sensitivity analyses consistently demonstrated observation optimal strategy aus negative patients conclusion considering cost effectiveness observation superior slnb postmenopausal women ct hr breast cancer negative aus,breast cancer staging axilla ultrasound sentinel lymph node biopsy cost effectiveness,1898,317
hydrogen permeability structure vanadium alloy membranes,experimental data hydrogen permeability membrane alloys ni ti presented hydrogen permeability tests carried temperature range pressures kpa results ray diffraction analysis samples presented microstructure membrane alloys investigated hydrogen permeability tests,hydrogen permeability vanadium alloys microstructure membranes grain size,744,132
line gemcitabine nab paclitaxel chemotherapy localized pancreatic ductal adenocarcinoma,background preoperative chemotherapy provides early treatment micro metastases guaranteed delivery components multimodality therapy localized pancreatic ductal adenocarcinoma pdac locally advanced la pdac induction chemotherapy standard care study evaluated use gemcitabine nab paclitaxel gem nab line therapy localized pdac methods clinicopathologic features treatment outcomes evaluated patients localized pdac patients staged using previously published criteria follows potentially resectable pr borderline type br anatomy amenable vascular resection br biology suspicious metastatic disease including high ca br comorbidities requiring medical optimization la results patients pr br la treated gem nab clinical staging patients pr br disease patients br br disease br bc cases included following age years older eastern cooperative oncology group performance status ecog ps moderate severe comorbidities ca higher suspicion metastases majority patients received biweekly gem nab dosing tolerated pancreatectomy performed patients prbr patients br bc patients la disease median follow period months median overall survival os period months confidence interval ci months patients months ci months unresected patients reached resected patients resected vs unresected patients conclusions significant number patients radiographically resectable pdac albeit aggressive biology br medically inoperable conditions br received biweekly line gem nab resection rates lower br br patients pr br patients hazard ratio hr ci,localized pdac pancreatic ductal adenocarcinoma pdac borderline resectable br potential resection pr locally advanced la,1049,183
strategy laparoscopic surgery colon cancer splenic flexure novel approach,background splenic flexure sf anatomy complex multiple vessels surrounding organs layers irregular adhesions methods laparoscopic approach involves lateral medial approach left sided transverse mesocolon tm medial lateral approach left mesocolon lm remnant sf omental bursa opened posterior wall anterior layer tm dissected pancreas gauze placed tm spread cephalad window tm opened gauze seen tm necessary middle colic vessels divided lymph node ln dissection left colic artery divided ln dissection using medial approach lm widely dissected retroperitoneum reach tm window observing pancreas window lm tm divided pancreas close sf descending colon mobilized lateral attachment finally sf taken spleen separating remnant structures including adhesions subsequently functional end end anastomosis performed extracorporeally results march december patients left sided transverse descending colon cancer underwent treatment mean operative time blood loss number harvested lns hospital stay duration min ml days respectively patient needed conversion open surgery organ injury anastomotic leakage clavien dindo iii complications patients stage ii iii iv colon cancer respectively nineteen cases positive lns patients alive local distant recurrences mean month follow conclusions safe effective surgical strategy treating colon cancer sf strategically designed resect sf dissecting surrounding structures,laparoscopic surgery splenic flexure transverse mesocolon descending colon cancer transverse colon cancer,1335,218
micromilling research current trends future prospects,micro milling mechanical chip removal process attracted attention researchers flexibility productivity allow extensive application manufacturing types micro components modern day world potential continuously growing market demands continuous innovation manufacturing high precision products progressively smaller dimensions global research available literature increased fast recent years relevant topics like size effect burr formation surface quality cutting forces tool wear vibrations process optimization highlighted systematic bibliometric study period properly addressed review work scale attempted earlier considering parameters time study provide current view future prospects mainstream research micro milling worldwide,micro milling cutting forces tool wear surface roughness burr formation optimization,432,77
hypogonadal men higher body mass index higher bone density better bone quality reduced muscle density,hypogonadism risk factor bone loss fractures different etiopathophysiology hormonal profile classical obesity induced hypogonadism lead differences musculoskeletal profile cross sectional study hypogonadal men years old outcomes include areal bone mineral density abmd body composition dual energy ray absorptiometry volumetric bmd vbmd soft tissue composition tibia peripheral quantitative computed tomography fracture risk assessment tool frax scores evaluated testosterone estradiol luteinizing hormone follicle stimulating hormone sex hormone binding globulin telopeptide osteocalcin sclerostin measured divided population subgroups bmi group bmi group bmi group bmi kg men enrolled spine hip abmd total trabecular vbmd tibia significantly increased increasing bmi cortical thickness mm groups respectively cortical area mm groups respectively tibia increased increasing bmi absolute lean mass increased increasing bmi lean mass muscle density mg cm groups respectively lowest group severely obese hypogondal men better bmd bone quality reduced muscle density significance remains determined,osteoporosis obesity testosterone hypogonadism,1757,295
high interleukin low,gene expression analysis peripheral blood cells provide valuable information triggered molecular processes systemic lupus erythematosus sle study aimed quantify mrna peripheral blood seven target genes including inflammatory cytokine genes ila ilb tnfa il regulatory related genes foxp tgfb il patients sle correlate expression levels disease activity clinical manifestations relative quantification target genes performed using real time polymerase chain reaction peripheral blood obtained adult sle females healthy women highest regulation blood sle patients observed ila median followed tgfb median il median ilb tnfa significantly regulated patients compared controls median median respectively foxp mrna lower patients higher degree disease activity median inverse correlation systemic lupus erythematosus disease activity index sledai il mrna correlated positively sledai highly expressed severe flares median il regulation associated anti dsdna antibody positivity foxp regulation lupus nephritis study pointed relationship sle disease activity particular clinical manifestations il foxp expression significant contribution ila sle immunopathogenesis peripheral blood cytokine mrnas exploited novel prognostic diagnostic biomarkers,gene expression quantitative real time pcr systemic lupus erythematosus blood cells cytokines,2000,342
toxicity thresholds diclofenac acetaminophen ibuprofen water flea,non steroid anti inflammatory drugs nsaids frequently detected aquatic ecosystem posed huge risk non target organisms aim study evaluate toxic effects typical nsaids diclofenac dfc acetaminophen apap ibuprofen ibp water flea daphnia magna nsaids remarkable time dependent concentration dependent effects magna dfc highest apap lowest toxic survival growth reproduction data magna bioassays used determine lc lc lethal median lethal concentrations values nsaids ec ec effect median effect concentrations values concentrations lethal sublethal toxicity endpoints mainly low ppm range reproduction sensitive indicating non target organisms adversely affected relevant ambient low level concentrations nsaids long time exposures,non steroid anti inflammatory drugs daphnia magna acute toxicity chronic toxicity toxicity threshold,1121,193
beavers promote calicioid diversity boreal forest landscapes,beavers ecosystem engineers modify maintain range special habitat types boreal forests produce large quantities deadwood provide substrate lignicolous organisms calicioid fungi ascomycota studied calicioid diversity differed boreal riparian forests beaver activity results calicioid diversity significantly higher beaver sites compared forest site types studied large quantity diverse forms deadwood produced beavers clearly promotes calicioid diversity boreal landscape specific lighting humidity conditions beaver wetlands reason promote success certain calicioid species,deadwood flood pin lichen riparian forest snag,1420,228
image encryption based random projection partition chaotic,image encryption useful technique multimedia security widely used content protection image authentication data hiding paper investigate use projection partition image encryption design efficient image encryption algorithm based random projection partition chaotic specifically algorithm randomly divides input image overlapping blocks block algorithm divides set projection lines chaotic exploited generate secret data pool finally data encryption random projection line swapping xor operation projection line secret sequence selected secret data pool experiments conducted validate efficiency algorithm comparisons results algorithm better popular algorithms,image encryption image content protection projection partition arnold transform chaotic skew tent map,383,69
study uptake toxicity nanoparticles cultured brain cells dos forgets,exciting properties engineered nanoparticles obtained substantial attention decades types nanoparticles used technical biomedical applications chances cells brain encounter nanoparticles strongly increased test potential consequences exposure brain cells engineered nanoparticles cell culture models different types neural cells frequently used review article discuss experimental strategies important controls used investigate physicochemical properties nanoparticles cell incubation conditions applied studies biocompatibility cellular uptake nanoparticles neural cells main focus article interaction cultured neural cells iron oxide nanoparticles similar considerations important studying consequences exposure types cultured cells types nanoparticles article aims improve understanding special technical challenges working nanoparticles cultured neural cells identify potential artifacts prevent misinterpretation data potential adverse beneficial consequences treatment cultured cells nanoparticles,adsorption biocompatibility cell cultures endocytosis experimental strategies iron oxide nanoparticles,1418,229
synthesis rhenium silicide microcrystals tin melt,abstract present work aimed discussing possibility principle obtaining rhenium silicide microcrystals tin melt temperatures used synthesis pure components formation rhenium silicides confirmed ray diffraction scanning electron microscopy data according phase diagrams rhenium silicon soluble tin allow process described context classical solution melt crystallization theory case sn assumed catalyst high temperature chemical reaction rhenium silicon favoring decrease silicide formation temperature opens possibility producing polycrystalline layers materials temperature gradient,rhenium silicides tin melt high temperature synthesis ray diffractometry scanning electron microscopy,281,50
pik akt erk mapk signaling promote different aspects neuron survival axonal regrowth following rat facial nerve axotomy,erk mapk pik akt signaling pathways play important role neuronal survival axonal regeneration peripheral nerve injury relative importance degree functional overlap pathways debated lack vivo data used rats underwent facial nerve axotomy examined subsequent erk mapk pik akt signaling activity quantifying phosphorylation erk akt assessed survival rate facial neurons number regenerated axons length axonal regrowth axotomized animals treated inhibitor erk mapk pik akt ly phosphorylation vehicle axotomy increased phosphorylation erk akt facial nucleus days injury inhibition erk phosphorylation significantly reduced length regenerated axons parameters inhibition akt phosphorylation significantly reduced survival rate facial neurons number new axons length regenerated axons results indicate facial nerve injury activates erk mapk pik akt signaling pathways facial nerve nucleus axons pathways promoted aspects regeneration slight overlap pik akt signaling improved survival neurons axonal growth branching erk mapk signaling promoted axonal extension,cranial nerve seven axonal regeneration kinase neurite extension neuron survival,1418,229
stem cells systems models clashing views explanation,paper examines case failed interdisciplinary collaboration experimental stem cell research theoretical systems biology recently groups theoretical biologists proposed dynamical systems models basis understanding stem cells distinctive capacities experimental stem cell biologists work focuses manipulation concrete cells tissues organisms largely ignored proposals argue failure communicate case rooted divergent views explanation theoretically inclined modelers committed version covering law view experimental stem cell biologists aim mechanistic explanations propose way reconcile explanatory approaches cell development discuss significance result interdisciplinary collaboration systems biology,explanation mechanisms covering law stem cells systems biology interdisciplinarity,251,44
experimental studies matching performance grinding vibration parameters ultrasonic assisted grinding sic ceramics,ultrasonic assisted grinding uag outstanding technology suitable machine advanced ceramics uag effect ultrasonic vibration grinding process mainly determined matching performance grinding vibration parameters theory problem lack deep study objective study matching performance deeply conventional grinding cg uag tests conducted effects grinding parameters grinding force ground surface profile wave ground surface roughness uag cg studied results grinding force ground surface profile wave height ground surface roughness uag reduced varying degrees compared cg additionally reduction percentage means effect ultrasonic vibration grinding process decreased significantly increasing grinding speed affected slightly increasing feedrate grinding depth deeply analyze variety law ultrasonic vibration effect uag matching performance equation referred grinding wheel diameter grinding vibration parameters proposed grinding speed increases feedrate mm min grinding depth reduction percentage grinding force uag compared cg decreases ground surface roughness decreases regard average difference height uag cg profile waves decreases zero,ultrasonic assisted grinding matching performance grinding force profile wave height ground surface roughness,432,77
theoretical modeling non equilibrium amorphous state tas,tas known remarkably complex phase diagram unique long lived metastable hidden state recently novel metastable state discovered using higher fluences photoexcitation case state state dubbed amorphous similarity glass expanding work brazovskii karpov state successfully modeled classical interacting polarons dimensional hexagonal lattice polaron configuration state corresponds frustrated screened coulomb order disorder phase transition,charge density waves polarons lattice gas model monte carlo simulations,1180,197
effect digestion ratio enzyme treatment biogas production grass silage chicken litter,biomethane production potential evaluated anaerobic digestion grass silage gs chicken litter cl batch experiments aim study identify optimum enzyme treatment digestion ratio substrates study divided trial trial enzyme treatment digestion respectively mixed substrates utilised trials maintained period days ml serum bottles preliminary batch assays trial biomethane potential determination performed using digestion ratio gs cl treated different concentrations enzyme highest specific methane yield smy ch kg observed enzyme treatment trial assays conducted different gs cl ratios respectively highest smy recorded ratios gs cl correspond ch kg ch kg ch kg respectively,anaerobic digestion biomethane potential grass silage chicken litter enzyme treatment,1952,331
,supplier products services aims minimize capacity investment cost operational cost incurred unwanted byproducts carbon dioxide emission paper consider sustainable supply chain network design problem capacity product flow link design variables formulate multi criteria optimization problem bio inspired algorithm developed tackle problem illustrate design sustainable supply chain network steps develop generalized model inspired foraging behaviour slime mould physarum polycephalum handle network optimization multiple sinks second propose strategy update link cost iteratively making physarum model converge user equilibrium perform equivalent operation transform optimum problem corresponding user equilibrium problem solvable physarum model efficiency proposed algorithm illustrated numerical examples,supply chain physarum sustainability network design decision making,1850,308
hand foot syndrome survival patients advanced non small cell lung cancer receiving anlotinib subgroup analysis data alter study,background alter study anlotinib significantly improve overall survival os compared placebo advanced non small cell lung cancer nsclc hand foot syndrome hfs common anlotinib related adverse event aim study assess association hfs clinical benefit methods subgroup analysis patients treated anlotinib alter study performed analysis assessed appearance anlotinib related hfs days second cycle hfs time produce better clinical benefits results study patients treated anlotinib patients hfs time patients developed hfs cycles patients received anlotinib developed hfs significantly prolonged os progression free survival pfs compared develop hfs cycles vs months adjusted hazard ratio hr confidence interval ci vs months adjusted hr significant os pfs benefits patients hfs versus seen time vs months adjusted hr vs months adjusted hr addition grade severity hfs strongly correlated os conclusion presence hfs potential clinical marker treatment nsclc anlotinib,non small cell lung cancer anlotinib adverse event clinical marker,1336,220
power diagram detection applications information elicitation,power diagrams type weighted voronoi diagram applications operations research study problem power diagram detection determining given finite partition mathbb takes form power diagram detection problem particularly prevalent field information elicitation wishes design contracts incentivize self minded agents provide honest information devise simple linear program decide polyhedral cell complex described power diagram positive instances representation cell complex power diagram returned discuss applications property elicitation peer prediction mechanism design question arises model efficiently decide question complexes mathbb convex subset thereof approach based use alternative representation power diagrams invariance power diagram uniform scaling parameters representation,power diagram information elicitation linear programming,634,117
