Aims,itr
iranian journal science technology transaction science istt devoted significant original research articles moderate length pages istt format broad spectrum biology chemistry geology mathematics physics special attention paid applications fields medical science multidisciplinary research invited surveys scientific developments subject current occasionally published istt istt divided sections listed subjects biology section manuscripts biotechnology cell molecular biology biochemistry physiology systematics taxonomy ecology conservation developmental biology systems biology computational modeling considered publication istt particular authors papers medical science relevant subjects welcome submit work istt chemistryeditors section consider manuscripts analytical inorganic organic nano physical polymer chemistry publication istt geologyistt covers theoretical experimental manuscripts subjects tectonics structural geology geophysics geochemistry mineralogy petrology paleontology hydrogeology economics environmental geology mathematics istt publishes mathematics articles contribute new information topic algebra analysis differential equations geometry mathematical biology optimization probability statistics physicsistt considers physics papers fields biophysics atomic molecular physics condensed matter elementary particles fields nuclear physics statistical mechanics thermodynamics quantum physics mathematical physics astrophysics astronomy relativity gravitation cosmology,78
international journal computer assisted radiology surgery ijcars peer reviewed journal provide platform closing gap medical technical disciplines encourage interdisciplinary research development activities international environment focus journal areas relating digital imaging methods computer assisted diagnostic therapeutic workflows match enhance skill levels health care professionals ijcars invites submissions topics information sciences ict mechatronic systems design clinical application fields medical imaging ct mr spect pet dr molecular imaging virtual endoscopyimage processing displayd imaginghospital wide pacs telemedicinecomputer applications neurosurgery head neck orthopaedics ear nose throat cardiovascular thoracoabdominal surgery plastic reconstructive surgeryimage guided therapysurgical robotics instrumentationsurgical navigationd modeling rapid prototypingpostoperative result assessmentsurgical education traininghaptics multimodal devices medical applicationsmethods validation verificationcad breast prostate chest colon skeletal liver brain vascular imagingcranial maxillofacial image guided surgerysurgical workflowsurgical dicom ihedigital operating roomijcars present results fields original papers review articles short communications commentaries increase value health care general populace focus ijcars providing information new diagnostic therapeutic processes facilitated cars includes providers experiences patient outcomes economic ethical considerations scientific medical validation results expected resulting awareness users providers accelerate acceptance cars supported procedures clinical practice,84
lasers medical science lims established leading international journal rapidly expanding field medical dental applications lasers light provides forum publication papers technical experimental clinical aspects use medical lasers including lasers surgery endoscopy angioplasty hyperthermia tumors photodynamic therapy addition medical laser applications lims presents high quality manuscripts wide range dental topics including aesthetic dentistry endodontics orthodontics prosthodontics journal publishes articles medical dental applications novel laser technologies light delivery systems sensors monitor laser effects basic laser tissue interactions modeling laser tissue interactions laser applications lims features articles relating use non laser light tissue interactions,99
medical science educator successor journal jiamse peer reviewed publication international association medical science educators iamse journal offers teach healthcare current information succeed task publishing scholarly activities opinions resources medical science education published articles focus teaching sciences fundamental modern medicine health include basic science education clinical teaching use modern education technologies journal provides readership better understanding teaching learning techniques order advance medical science education,102
science china mathematics mathematical journal cosponsored chinese academy sciences national natural science foundation china published science china press committed publishing high quality original results basic applied research science china mathematics published print electronic forms indexed science citation index categories articles reviews summarize representative results achievements particular topic area comment current state research advise research directions author opinion related discussion requested research papers report important original results areas mathematics brief reports present short reports timely manner latest important results,103
science china earth sciences academic journal cosponsored chinese academy sciences national natural science foundation china published science china press committed publishing high quality original results basic applied research science china earth sciences published print electronic forms indexed science citation index categories articles research papers report important original results areas earth sciences reviews summarize representative results achievements particular topic area comment current situation advise research directions author opinion related discussion requested,104
environmental science pollution research espr serves international community areas environmental science related subjects emphasis chemical compounds includes terrestrial biology ecology aquatic biology ecology atmospheric chemistry environmental microbiology biobased energy sources phytoremediation ecosystem restoration environmental analyses monitoring assessment risks interactions pollutants environment conservation biology sustainable agriculture impact chemicals pollutants human animal health environmental economicsit reports broad interdisciplinary outlook apart strictly scientific contributions research articles short papers reviews espr publishes news views research technology legislation regulation hardware software education literature institutions organizations conferences commentary editorials round journal contents espr official organ euchems division chemistry environment euchems dce,107
begun proceedings indian academy sciences earth planetary sciences quarterly journal renamed journal earth science journal published bimonthly journal highly interdisciplinary publishes high quality research new data ideas conceptual advances earth science broadest sense includes solid earth atmosphere hydrosphere biosphere addresses related aspects planetary space sciences contributions pertaining indian subcontinent surrounding indian ocean region particularly welcome,108
chinese journal polymer science cjps monthly journal published english sponsored chinese chemical society institute chemistry chinese academy sciences cjps edited distinguished editorial board headed professor qi feng zhou supported international advisory board famous active polymer scientists world included journal published title polymer communications current cjps peer reviewed journal dedicated timely publication original research ideas results field polymer science issues carry regular papers rapid communications notes feature articles leading polymer journal china published english cjps reflects new achievements obtained various laboratories china cjps includes papers submitted scientists different countries regions outside china reflecting international nature journal cjps indexed ca russia years indexed sci expanded currently journal published chinese chemical society institute chemistry cas springer distributor journal outside china,115
advances new high performance materials structural functional applications depend today developments materials processing allow structural contol atomic molecular nano micro scales sol gel processing efficient means tailoring properties opens way development production novel high technology materials primary objective journal sol gel science technology jsst official journal international sol gel society isgs http www isgs org provide international forum dissemination scientific technological general knowledge materials processed chemical nanotechnologies known sol gel process materials include gels gel derived glasses ceramics form nano micro powders bulk fibres films coatings recent materials hybrid organic inorganic materials composites materials exhibit wide range optical electronic magnetic chemical environmental biomedical properties functionalities methods producing sol gel derived materials industrial uses materials great jsst publishes original previously published research technological manuscripts form extended reports occasionally invited papers scientific technologically important issues emerging fields sol gel materials published special issues sol gel product news section available publication short papers products developed chemical technology middle journal introduced new venue publication fast track communications venue reserved rapid publication novel developments unusual significance sol gel science technology community judgement editors requires expedited handling usual efforts publish articles timely manner journal encourages recognized experts field submit comprehensive authoritative readable reviews general high potential broad impact instructions authors details major topics journal include chemistry physics materials science technology sol gel synthesis processing techniques etccharacterization gels aerogels sol gel derived glasses ceramics hybrids compositesproperties performances sol gel materials fields optics magnetism mechanics chemistry environmental science biomedicine biotechnology etcindustrial applications jsst governed international advisory board consisting experts fields day day activities editors jsst welcomes submissions following areas sol gel hybrids solution chemistriesfundamentals sol gel hybrid materials processingsupramolecular materialsnano structured materials particles fibers colloids composites nano macroporous materials aerogels xerogels cryogels functional coatings films membranes including deposition techniques characterization methods sol gel hybrid materialsmodelling computational tools theoretical studies sol gel hybrid materialssol gel hybrid materials catalytic photoelectrochemical sensor applicationssol gel hybrid materials energy environment building applicationssol gel hybrid materials biological health medical applicationssol gel hybrid materials dielectric electronic magnetic ferroelectric applicationssol gel hybrid materials optical photonic optoelectronic applicationssol gel hybrid materials surface modifications applicationsindustrial technological applications sol gel hybrid materialsdevices based sol gel hybrid materialseducational aspects sol gel hybrid materials,123
journal mountain science jms devoted mountains surrounding lowlands ecoregions particular global importance particular emphasis important highlands mountains world tibetan plateau himalayas alps andes rockies mountain ranges planet jms mainly publishes academic technical papers concerning environmental changes sustainable development mountain areas natural conditions influence human activities accepts book reviews reports mountain research introductions mountain research organizations journal pays particular attention relationships mountain environment changes human activities including processes characteristics restoration mountain ecosystem degradation dynamic processes theory methods controlling mountain hazards debris landslides soil erosion protection development special mountain resources culture diversity local economic development mountain regions ethnic issues social welfare mountain areas academic papers display universal strategic innovative characteristics theory practice technical papers report development programmes project planning community actions especially welcome papers emphasize application new technologies gis remote sensing mountain research development papers new concepts new methods deriving disciplinary interdisciplinary transdisciplinary research mountains,128
arabian journal science engineering ajse peer reviewed journal owned king fahd university petroleum minerals published springer ajse publishes issues rigorous original contributions science disciplines biological sciences chemistry earth sciences physics engineering disciplines chemical civil computer science engineering electrical mechanical petroleum systems engineering manuscripts submitted english language authors ensure article published submitted publication format ethical concerns contents data collection authors warrant information submitted redundant respects general guidelines ethics publishing papers evaluated international referees known scholars fields kfupmking fahd university petroleum mineralsking fahd university petroleum minerals kfupm saudi arabia leading educational organization science technology vast petroleum mineral resources kingdom pose complex exciting challenge scientific technical management education meet challenge university adopted advanced training fields science engineering management goals order promote leadership service kingdom petroleum mineral industries university furthers knowledge research fields addition derives distinctive character technological university land islam university unreservedly committed deepening broadening faith muslim students instilling appreciation major contributions people world mathematics science areas kfupm facilities faculty students programs directed attainment goals http www kfupm edu sa default aspxkfupmabout ajsearabian journal science engineering sectionsking fahd university petroleum minerals kfupm partnered springer publish arabian journal science engineering ajse ajse published kfupm recognized national regional international journal provides great opportunity dissemination research advances kingdom saudi arabia mena world arabian journal science engineeringajse publishes issues engineering ajse engineering science ajse science disciplines publication thematic special issues specific topics considered ajse engineeringajse engineering section arabian journal science engineering ajse publishes original contributions refereed research papers disciplines civil chemical electrical mechanical petroleum engineering computer science engineering systems engineering ajse engineering publishes length original articles review articles specialized topics technical notes technical reports ajse sciencechemistry earth sciences physics biological sciencesajse science section arabian journal science engineering ajse ajse science publishes original contributions refereed research papers disciplines chemistry earth sciences physics biological sciences ajse science publishes length original articles review articles specialized topics technical notes technical reports abstracted indexed academic search csa proquest current abstracts current contents engineering computing technology current index statistics ebsco google scholar inis atomindex oclc science citation index expanded scisearch scopus summon serial solutions zentralblatt math,118
journal materials science materials electronics founded grown major peer reviewed international journal publishes experimental papers materials modern electronics optoelectronics photonics broad depth coverage scope journal includes synthesis growth processing new materials compounds alloys structural studies various experimental techniques characterization microstructure structure property relationships electrical optical dielectric magnetic properties journal presents materials related papers newly developing fields low dimensional structures devices spintronic materials structures topological insulators energy applications energy harvesting storage optoelectronics solar cells photocatalysis green photonics solid state ionics thermoelectrics phononics materials heterogeneous integrated circuit applications new materials memory storage applications glasses glass ceramics linear non linear crystal materials lasers high tc superconductors organic semiconductors conducting polymers thick film materials new contact technologies materials used established electronic optoelectronic devices circuits materials related papers accepted emerging field quantum technologies including electronic spintronic photonic related materials systems quantum entanglement applications plasmonic materials sensors communications metrology papers contain extensive novel experimental work rigorous analysis sound interpretation cases main focus paper materials related theoretical analytical papers contain high degree chemistry electrochemistry generally excluded scope journal publishes review articles hort specific long general scope journal,137
colloid polymer science leading international journal longstanding tradition devoted colloid polymer science interdisciplinary interactions responds demand lost actuality revealed trends contemporary materials science enable effective fast dissemination scientific manuscripts categories contributions presented invited review articles perspectives original contributions short communicationsthe published high priority weeks acceptance manuscript usual time acceptance publishing onlinefirst typically weeks immediacy colloid polymer science serves reliable partner effective distribution scientific results purely application oriented manuscripts routine work accepted,125
journal food measurement characterization interdisciplinary journal dedicated new measurement results novel methods techniques procedures evaluating characterizing food products materials important process innovation product development quality control safety assurance journal encompasses topics related food property measurement characterization areas particular include limited measured food properties physical thermal mechanical rheological chemical transport biological textural sensory characteristic patterns resulting processing treatmentsphysical chemical biochemical biological microbiological engineering principles methods mechanisms food property measurement characterizationeffective use evaluation development sensing imaging detection modalities food applicationsnon destructive non invasive evaluations food propertiesintroduction emerging measurement sensing characterization techniques fieldstate art reviews measurement techniques methodsnovel use development statistical mathematical computer methods food characterizationinstrumentation development evaluationdevelopment implementation systems procedures food quality safety security assurance,140
journal supercomputing publishes papers technology architecture systems algorithms languages programs performance measures methods applications aspects supercomputing tutorial survey papers intended workers students fields associated employing advanced computer systems journal publishes letters editor especially areas relating policy succinct statements paradoxes intuitively puzzling results partial results real needs published theoretical practical papers advanced depth treatments describing new developments new ideas includes introduction summarizing prior directly pertinent work useful reader understand order appreciate advances described,142
frontiers information technology electronic engineering journal zhejiang university science indexed sci frontiers information technology electronic engineering journal zhejiang university science emerged jzus covers researches computer science engineering electrics electronics information sciences automation control communication applied mathematics related computer area journal aims present latest developments achievements scientific research articles reviews science letters new technical notes methods,147
acta geophysica international journal dealing aspects general applied geophysics atmospheric phenomena broad scope divided main categories solid earth sciences hydrology atmospheric space sciences anthropogenic hazard applied geophysics primary consideration given studies significantly advancing fundamental understanding geophysics atmospheric processes focusing interconnection multiple topics work authored young scientists welcome acta geophysica publishes kinds original high quality contributions research review articles short communications comments published papers books letters editors proposals special topical issues welcome careful assistance editorial team matches considerable independence granted guest editors contributions presenting new data methods interpretations broad readership especially welcome following subjects environmental impacts weather climate climate changeanthropogenic hazards related agriculture forestry land useinduced seismicityglobal change induced extreme events environmental impactsstress ecology marine freshwater terrestrial ecosystemswater quality quantity security artificial intelligence machine learning geophysics atmosphereremote sensing big data applications geophysics atmospheredevelopments exploration applied geophysical methods applicable improved subsurface imaging range targets scalesadvances study solid earth various scales different innovative approachestypes submissions considered papers contributing significant new knowledge field study providing incremental improvements existing workflowslocal regional scale case studies lacking international relevancemanuscripts primarily data reports substantial hypothesismodelling studies calibration substantial real data validationdescriptive repetitive incremental regional scale studies limited noveltywhenever possible encourage use reproducible methods sharing computer codes associated data,149
soft computing provides rapid dissemination important results soft computing foundations methodologies applications encourages integration soft computing theoretical practical results everyday advanced applications journal aims connect ideas techniques soft computing disciplines soft computing dedicated solutions based soft computing paradigms provides rapid dissemination important results soft computing fusion research evolutionary algorithms genetic programming swarm intelligence neural science neural net systems fuzzy set theory fuzzy systems bayesian networks chaos theory chaotic systems linking ideas techniques soft computing disciplines journal serves unifying platform fosters comparisons extensions new applications result journal international forum scientists engaged research development fast growing field soft computing section foundationsthe section foundations welcomes original significant contributions mathematical logical foundations soft computing related areas section forum aims promoting circulating stimulating research mathematical foundations soft computing intended broad sense method dealing non crisp information instance characterized presence vagueness imprecisions high complexity uncertainty relevant topics include limited algebra algebraic logic computational paradigms computational complexitydescription logic temporal logic dynamic logic modal logicdomain theory type theoryfuzzy logic fuzzy set theory valued logicsubstructural logicprobability logic belief functions soft computing section methodologies applicationsthe section aims promoting stimulating research field development enhanced computational systems based innovative consolidated soft computing methodologies fuzzy logic neural networks evolutionary algorithms perspective particular attention given hybrid agent based systems computational frameworks use different soft computing approaches synergic way order face intrinsic complexities characterizing real environments exploit imprecise vague information strongly characterizes real world scenarios consequence journal section seeks original research contributions focus applications belonging limited following areas computer networks data mining image video processing intelligence agents machine learning pattern recognition robotics web intelligence,155
pure applied geophysics pageoph continuation journal geofisica pura applicata publishes original scientific contributions fields solid earth atmospheric oceanic sciences regular special issues feature thought provoking reports active areas current research state art surveys bibliographic datapure appl geophys published geofisica pura applicata volume year issues volumeformat cmissn print issn electronic,158
irish journal medical science official organ royal academy medicine ireland established quarterly journal contribution medical science ideal forum younger medical scientific professional enter world literature ideal launching platform past young research worker primary role academy ijms providing forum exchange scientific information promote academic discussion essential scientific progress journal covers branches medicine publishes papers applicable daily practice clinician surgeon articles written international specialists respective fields applicability limited daily practice ireland submitted articles undergo strict review scrutiny ensures journal retaining high medical standards publication journal consider publication original research relevance following specialists fieldsmedicine surgery obstetrics pathology biomedical sciences epidemiology public health otolaryngology anaesthesia paediatrics odontology orthopaedic medicine dermatology radiology history medicine psychiatry neurological sciences rheumatology rehabilitation ophthalmology general practice genito urinary medicine bioengineering health informatics representing sections academy,161
aim journal mechanical science technology provide international forum publication dissemination original work contributes understanding main related disciplines mechanical engineering empirical theoretical journal covers spectrum mechanical engineering includes limited dynamics vibration sound engineering materials technology fluids engineering solid mechanics design micro nano engineering technology production engineering robotics control thermal power engineering bio engineering manuscripts fall categories including articles solicited reviews commentary unsolicited reviews commentary related core mechanical engineering proposed maintain international diary forthcoming events prospective guest editors publishing special issue contact editor chief journal,163
journal food science technology jfst official publication association food scientists technologists india afsti journal envisaged major platform communicating advances developments post harvest science engineering technology aspects food food products researchers academicians industry students food science technology peer reviewed journal publishes novel high quality reviews original research short communications covering wide range post harvest related science engineering technological aspects foods food products related byproducts special emphasis basic applied research findings impact quality safety shelf life fresh processed food products including findings help improvise efficiency process technology effective utilization products wastes resulting food processing operations manuscripts dealing pre harvest aspects considered work clearly indicates relevance post harvest practices processing directly impact safety quality shelf life food food products critical reviews new perspectives food handling processing innovative emerging technologies trends future research food products food industry byproducts welcome journal publishes book reviews relevant science technology engineering aspects food food products major areas food food products covered journal chemistry microbiology biotechnology aspects food emerging safety toxicological issues food material engineering physical chemical sensory properties food advances sensory science food quality safety nutraceuticals functional foods functional ingredients biophysical analysis food processing operations applied research related food nanotechnology emerging technologies environmental safety sustainability aspects processing waste product management food processingthe following considered publication jfst rejected outside scope studies food component study indicating marginal improvement existing knowledge obviousness material added slight modification existing formulations ingredients study merely describes characteristics ingredients scientific evidence mechanism observed change general research papers indicating biofunctional properties antioxidant antimicrobial food proper identification compound responsible observed activity include phytochemicals substances animal origin minor components foods research paper deals preharvest production aspects relevance post harvest operations papers reporting application microorganisms food processing operation proper accession number organisms public culture collection like atcc mtcc work reporting antimicrobial compounds validated food papers submitted submitted appropriate molecular data considered optimization experiments validation steps independent optimization runs papers dealing routine analysis storage studies reference known processing methods result obvious changes quality shelf life mere change raw materials scientifically mathematically explaining specific component step resulting observed changes generally surveys chemical nutritional physical microbiological considered unless clearly indicate relevance food science technology studies merely focusing pharmacological nutritional aspects merely focusing hosts consideration foods effect processing operations active components nutritional study emphasize bioavailability bio functionality food engineering manuscripts mathematical verification situ validation appropriate papers report analysis depth scientific aspects fragmented studies low scientific quality poorly written,169
journal food measurement characterization interdisciplinary journal dedicated new measurement results novel methods techniques procedures evaluating characterizing food products materials important process innovation product development quality control safety assurance journal encompasses topics related food property measurement characterization areas particular include limited measured food properties physical thermal mechanical rheological chemical transport biological textural sensory characteristic patterns resulting processing treatmentsphysical chemical biochemical biological microbiological engineering principles methods mechanisms food property measurement characterizationeffective use evaluation development sensing imaging detection modalities food applicationsnon destructive non invasive evaluations food propertiesintroduction emerging measurement sensing characterization techniques fieldstate art reviews measurement techniques methodsnovel use development statistical mathematical computer methods food characterizationinstrumentation development evaluationdevelopment implementation systems procedures food quality safety security assurance,179
journal established view cater increased awareness high quality research seamless integration heterogeneous technologies formulate bankable solutions emergent complex engineering problems assurance engineering thought relating provision higher confidence reliable secure implementation critical characteristic features espousal holistic approach using wide variety cross disciplinary tools techniques successful realization sustainable dependable products systems services involves extensive adoption reliability quality safety risk related procedures achieving high assurancelevels performance pivotal management issues related risk uncertainty govern practical constraints encountered deployment intention provide platform modeling analysis large engineering systems aforementioned allied goals systems assurance engineering leading enforcement performance enhancement measures achieving fine balance theory practice primary focus journal publishes high quality papers passed rigorous peer review procedure archival scientific journal aim increasing number submissions wide circulation high impact factor,181
journal education information technologies eait platform range debates issues field computing education uses information communication technology ict educational subjects sectors probes use computing improve education learning variety settings platforms environments journal aims provide perspectives levels micro level specific pedagogical approaches computing education applications instances use classrooms macro concerns national policies major projects pre school classes adults tertiary institutions teachers administrators researchers designers institutions online lifelong learning journal embedded research practice professionals contemporary global context breadth scope encourage debate fundamental issues levels different research paradigms learning theories journal proselytize behalf technologies mobile desktop interactive virtual games based learning management systems provokes debate complex relationships computing education informal formal settings probes state art technologies computing education considers design evaluation digital educational artefacts journal aims maintain expand international standing careful selection merit papers submitted providing credible ongoing forum debate scholarly discourse special issues occasionally published cover particular issues depth eait invites readers submit papers draw inferences probe theory create new knowledge informs practice policy scholarship readers invited comment reflect argument opinions published eait official journal technical committee education international federation information processing ifip partnership unesco,202
